Periodo;Clave;R0500C0010;R0500C0020;R0500C0030;R0500C0040;R0500C0050;R0510C0010;R0510C0020;R0510C0030;R0510C0040;R0540C0010;R0540C0020;R0540C0030;R0540C0040;R0540C0050;R0550C0010;R0550C0020;R0550C0030;R0550C0040;R0580C0010;R0600C0010;R0620C0010;R0640C0010
31/12/2022;C0072  ;1594762303,27;1594762303,27;0;0;0;1594762303,27;1594762303,27;0;0;1594762303,27;1594762303,27;0;0;0;1594762303,27;1594762303,27;0;0;966531467,08;355592769,25;1,649985;4,4848
31/12/2022;C0075  ;77779698,04;77779698,04;0;0;0;77779698,04;77779698,04;0;0;77779698,04;77779698,04;0;0;0;77779698,04;77779698,04;0;0;28227537,23;7056884,31;2,755455;11,021818
31/12/2022;C0089  ;166926723,7;166926723,7;0;0;0;166926723,7;166926723,7;0;0;166926723,7;166926723,7;0;0;0;166926723,7;166926723,7;0;0;64583888,2;18605383,02;2,58465;8,971958
31/12/2022;C0109  ;785007149,66;785007149,66;0;0;0;785007149,66;785007149,66;0;0;785007149,66;785007149,66;0;0;0;785007149,66;785007149,66;0;0;584141934,6;262863870,57;1,343864;2,986364
31/12/2022;C0120  ;44767503,05;44767503,05;0;0;0;44767503,05;44767503,05;0;0;44767503,05;44767503,05;0;0;0;44767503,05;44767503,05;0;0;4934349,23;4000000;9,072626;11,191876
31/12/2022;C0121  ;106153045,39;106153045,39;0;0;0;106153045,39;106153045,39;0;0;106153045,39;106153045,39;0;0;0;106153045,39;106153045,39;0;0;35184882,89;8796220,72;3,017007;12,068029
31/12/2022;C0124  ;923327989,12;836756760,16;0;0;86571228,96;836756760,16;836756760,16;0;0;914541333,28;836756760,16;0;0;77784573,12;836756760,16;836756760,16;0;0;518563820,8;233353719,36;1,763604;3,585787
31/12/2022;C0133  ;1370321377,15;1370321377,15;0;0;0;1370321377,15;1370321377,15;0;0;1370321377,15;1370321377,15;0;0;0;1370321377,15;1370321377,15;0;0;433472370,97;113798126,8;3,161266;12,041687
31/12/2022;C0139  ;100273650,51;100273650,51;0;0;0;100273650,51;100273650,51;0;0;100273650,51;100273650,51;0;0;0;100273650,51;100273650,51;0;0;29093527,06;7273381,76;3,446597;13,786386
31/12/2022;C0114  ;2907045,32;2907045,32;0;0;0;2907045,32;2907045,32;0;0;2907045,32;2907045,32;0;0;0;2907045,32;2907045,32;0;0;690665,41;2700000;4,20905;1,076683
31/12/2022;C0315  ;5354428,49;5354428,49;0;0;0;5354428,49;5354428,49;0;0;5354428,49;5354428,49;0;0;0;5354428,49;5354428,49;0;0;1276692,54;2700000;4,193984;1,983122
31/12/2022;C0140  ;461625871,87;461625871,87;0;0;0;461625871,87;461625871,87;0;0;461625871,87;461625871,87;0;0;0;461625871,87;461625871,87;0;0;243273136,33;109472911,35;1,897562;4,216805
