TRIMESTRE;CLAVE;NOMBRE;CALLE;NUMERO;POBLACION;CODPOS;PROVINCIA;AMBITO;URL
31/12/2017;C0114;MARTIERRA SEGUROS S.A.;SANTA ENGRACIA ;126;MADRID;28003;28;N;
31/12/2018;C0114;MARTIERRA SEGUROS S.A.;SANTA ENGRACIA;126;MADRID;28003;28;N;
31/12/2022;C0001;ASEGURADORES AGRUPADOS S.A. DE SEGUROS;XATIVA;23;VALENCIA;46002;46;N;WWW.DIVINASEGUROS.COM
31/12/2022;C0002;LA ALIANZA ESPAÑOLA S.A. DE SEGUROS;GOYA;22;MADRID;28001;28;N;HTTPS://WWW.ALIANZAESP.ES
31/12/2022;C0007;FAMILIAR DE SEGUROS ACTIVE SA ;CORTES VALENCIANAS;17;VALENCIA;46015;46;N;HTTPS://WWW.ACTIVESEGUROS.COM
31/12/2022;C0012;ETERNA ASEGURADORA,S.A. COMPAÑIA DE SEGUROS Y REASEGUROS SOCIEDAD UNIPERSONAL;  PRINCESA;23;MADRID;28008;28;N;HTTPS://WWW.ETERNA-ASEGURADORA.ES
31/12/2019;C0114;MARTIERRA SEGUROS S.A.;SANTA ENGRACIA;126;MADRID;28003;28;N;
31/12/2020;C0114;MARTIERRA SEGUROS S.A.;SANTA ENGRACIA;126;MADRID;28003;28;N;HTTPS://WWW.MARTIERRASEGUROS.ES/
31/12/2021;C0114;MARTIERRA SEGUROS S.A.;SANTA ENGRACIA ;126;MADRID;28003;28;N;HTTPS://WWW.MARTIERRASEGUROS.ES/
31/12/2016;C0120;ERGO GENERALES SEGUROS Y REASEGUROS, S.A;AVENIDA CONCHA ESPINA;63;MADRID;28016;28;N;
31/12/2017;C0120;ERGO GENERALES SEGUROS Y REASEGUROS, S.A.;AVENIDA CONCHA ESPINA;63;MADRID;28016;28;N;
31/12/2018;C0120;ERGO GENERALES SEGUROS Y REASEGUROS, S.A.;AVENIDA CONCHA ESPINA;63;MADRID;28016;28;N;
31/12/2019;C0120;ERGO GENERALES SEGUROS Y REASEGUROS, S.A. ;AVENIDA CONCHA ESPINA ;63;MADRID;28016;28;N;
31/12/2020;C0120;ERGO GENERALES SEGUROS Y REASEGUROS S.A;CONCHA ESPINA;63;MADRID;28016;28;N;HTTPS://DKVSALUD.COM/ES/INFORMACION-CORPORATIVA/INFORME-CORPORATIVO/2019
31/12/2021;C0120;ERGO GENERALES SEGUROS Y REASEGUROS S.A.;CONCHA ESPINA;63;MADRID;28016;28;N;WWW.DKV.ES/CORPORATIVO/CONOCENOS/INFORMES/INFORME-ANUAL
31/12/2016;C0121;METROPOLIS, S.A. ;ALCALA;39;MADRID;28014;28;N;
31/12/2017;C0121;METROPOLIS, S.A. CIA. NAL. SEGUROS Y REASEGUROS;ALCALA;39;MADRID;28014;28;N;
31/12/2018;C0121;METROPOLIS, S.A. CIA. NAL. SEGUROS Y REASEGUROS;ALCALA;39;MADRID;28014;28;N;
31/12/2019;C0121;METROPOLIS, SA CIA. NAL. DE SEG. Y REASEG.;OQUENDO;23;MADRID;28006;28;N;
31/12/2020;C0121;METROPOLIS, S.A. CIA. NAL. SEGUROS Y REASEGUROS;OQUENDO;23;MADRID;28006;28;N;WWW.METROPOLIS-SA.ES
31/12/2021;C0121;METROPOLIS, S.A. CIA. NAL. SEGUROS Y REASEGUROS;OQUENDO;23;MADRID;28006;28;N;HTTPS://WWW.METROPOLIS-SEGUROS.COM/
31/12/2016;C0124;SEGURCAIXA ADESLAS S.A. DE SEGUROS Y REASEGUROS;JUAN GRIS;20-26;BARCELONA;8014;8;N;
31/12/2017;C0124;SEGURCAIXA ADESLAS S.A. DE SEGUROS Y REASEGUROS;PASEO DE LA CASTELLANA;259-C;MADRID;28046;28;N;
31/12/2018;C0124;SEGURCAIXA ADESLAS S.A. DE SEGUROS Y REASEGUROS;PASEO DE LA CASTELLANA;259-C;MADRID;28046;28;N;
31/12/2019;C0124;SEGURCAIXA ADESLAS S.A. DE SEGUROS Y REASEGUROS;PASEO DE LA CASTELLANA;259-C;MADRID;28046;28;N;
31/12/2020;C0124;SEGURCAIXA ADESLAS S.A. DE SEGUROS Y REASEGUROS;PASEO DE LA CASTELLANA;259-C;MADRID;28046;28;N;WWW.SEGURCAIXAADESLAS.ES
31/12/2021;C0124;SEGURCAIXA ADESLAS S.A. DE SEGUROS Y REASEGUROS;PASEO DE LA CASTELLANA;259-C;MADRID;28046;28;N;HTTPS://WWW.SEGURCAIXAADESLAS.ES/ES/PARTICULARES
31/12/2016;C0133;OCASO S.A. DE SEGUROS Y REASEGUROS;PRINCESA;23;MADRID;28008;28;N;
31/12/2017;C0133;OCASO S.A. DE SEGUROS Y REASEGUROS;PRINCESA;23;MADRID;28008;28;N;
31/12/2018;C0133;OCASO S.A. DE SEGUROS Y REASEGUROS;PRINCESA;23;MADRID;28008;28;N;
31/12/2019;C0133;OCASO S.A. DE SEGUROS Y REASEGUROS;PRINCESA;23;MADRID;28008;28;N;
31/12/2020;C0133;OCASO S.A. DE SEGUROS Y REASEGUROS;PRINCESA;23;MADRID;28008;28;N;HTTPS://WWW.OCASO.ES/
