TRIMESTRE;CLAVE;operacion;PT1;PT2;PT3;PT4;PT5;PT6;PT7;PT8;PT9;PT10;PT11;PT12;PT13;PT14;PT15;PT16;PT17;PT18;PT19;PT20;PT21;PT22;PT23;PT24;PT25;PT26;PT27;PT28;PT29;PT30;PT31;PT32;PT33;PT34;MONEDA;delegacion;TipoDec
31/12/2020;C0516;1;23086390,31;0;548002,95;;;;0;0;0;91145,89;9581247,64;105690,61;291,31;104338,58;0;4554454,16;1033,9;736743,27;5502551,83;16217,35;4845,07;;;6035471,63;21140986,77;8942098,8;0;16217,35;0;4845,07;4090068,09;27176458,4;21140986,77;0;E;724;16
31/12/2020;C0516;2;1015556,3;0;1;;;;0;0;0;0;1;5177,97;291,31;0;0;0;0;0;5469,28;0;0;;;0;1010088,02;0;0;0;0;0;-5468,28;1010088,02;1010088,02;0;E;620;16
31/12/2020;C0516;2;0,01;0;0,01;;;;0;0;0;0;0,01;0;0;0;0;0;0;0;0;0;0;;;0;0,02;0;0;0;0;0;0,01;0,02;0,02;0;E;250;16
31/12/2021;C0516;2;6848072,99;0;0;;;;0;0;0;0;0;19938,11;210,66;0;0;0;155,07;0;20303,84;439,02;0;;;0;5582238,46;0;0;439,02;0;0;-19864,82;6828208,17;6828208,17;-1245969,71;E;620;16
31/12/2021;C0516;2;1;0;1;;;;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;;;0;2;0;0;0;0;0;1;2;2;0;E;250;16
31/12/2021;C0516;1;82915056,17;0;579850,54;;;;0;0;0;161624,68;14782027,48;58490,34;210,66;98839,02;0;2812683;1604,56;0;2971827,58;16635,43;93554,94;;;21542310,22;73106026,34;14040552,26;0;16635,43;0;93554,94;11733280,39;94648336,56;73106026,34;0;E;724;16
31/12/2016;C0517;3;132765,29;0;0;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;0;132765,29;0;0;0;0;0;0;132765,29;132765,29;0;E;616;16
31/12/2016;C0517;3;60147,79;0;0;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;0;60147,79;0;0;0;0;0;0;60147,79;60147,79;0;E;380;16
31/12/2016;C0517;1;36159019,39;11688943,36;0;;;;0;376426,66;0;0;376426,66;0;0;0;0;2411600;0;0;2411600;4407242,89;17609426,53;;;9280392,43;23330213,34;0;61246,81;4345996,08;30656,49;17578770,04;-15237356,98;32610605,77;23330213,34;0;E;724;16
31/12/2016;C0517;3;-55980,94;0;0;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;0;-55980,94;0;0;0;0;0;0;-55980,94;-55980,94;0;E;56;16
