TRIMESTRE;CLAVE;PT1;PT2;PT3;PT4;PT5;PT6;PT7;PT8;PT9;PT10;PT11;PT12;PT13;PT14;PT15;PT16;PT17;PT18;PT19;PT20;PT21;PT22;PT23;PT24;PT25;PT26;PT27;PT28;PT29;PT30;PT31;PT32;PT33;PT34;PT35;PT36;PT37;PT38;PT39;PT40;PT41;PT42;PT43;PT44;PT45;PT46;PT47;PT48;PT49;PT50;PT51;PT52;PT53;PT54;PT55;PT56;PT57;PT58;PT59;PT60;PT61;PT62;PT63;PT64;PT65;PT66;PT67;PT68;PT69;PT70;PT71;MONEDA;delegacion;TipoDec
31/12/2018;M0177;0;0;919875,09;0;0;66,34;0;66,34;0;0;0;0;0;0;919808,75;7157,12;0;912651,63;0;86348,27;0;0;0;0;0;0;0;86348,27;0;0;2371173,71;0;0;0;2371173,71;4360,58;0;4360,58;0;0;0;0;0;0;3381757,65;4478990,96;4169521,47;4169521,47;0;0;371085,91;0;0;371085,91;0;-9619,72;0;9619,72;0;-51996,7;0;0;-75864,83;-75864,83;0;0;0;0;0;4403126,13;7784883,78;;724;99
31/12/2019;M0177;0;0;932498,99;0;0;4,7;0;4,7;0;0;0;0;0;0;932494,29;14325,66;0;918168,63;0;60460,38;0;0;0;0;0;0;0;60460,38;0;0;274005,33;0;239525,44;0;34479,89;15729,71;0;15729,71;0;0;0;0;0;0;1282694,41;6529310,2;4169521,47;4169521,47;0;0;361466,19;0;0;361466,19;0;-51996,7;0;51996,7;0;2050319,24;0;0;65788,75;65788,75;0;0;0;0;0;6595098,95;7877793,36;;724;99
31/12/2020;M0177;0;0;27462,9;0;0;0;0;0;0;0;0;0;0;0;27462,9;8851,18;0;18611,72;0;58140,66;0;0;0;0;0;0;0;58140,66;0;0;283912,56;0;283912,56;0;0;29784,01;0;29784,01;0;0;0;0;0;0;399300,13;6492304,11;4169521,47;4169521,47;0;0;2359788,73;0;0;2359788,73;0;0;0;0;0;-37006,09;0;0;121719,16;121719,16;0;0;0;0;0;6614023,27;7013323,4;;724;99
31/12/2021;M0177;0;0;194404,27;0;0;9,96;0;9,96;0;678,31;0;0;0;0;193716;9686,11;0;184029,89;0;240001,98;0;0;0;0;0;0;0;240001,98;0;0;304922,32;0;304922,32;0;0;44612,72;0;44612,72;0;0;0;0;0;0;783941,29;6207799,22;4169521,47;4169521,47;0;0;2359788,73;0;0;2359788,73;0;-37006,09;0;37006,09;0;-284504,89;0;0;184784,61;184784,61;0;0;0;0;0;6392583,83;7176525,12;;724;99
31/12/2016;M0189;0;0;27901,14;0;0;0;0;0;0;14,24;0;0;0;0;27886,9;17739,34;0;10147,56;0;32725,16;32725,16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;170216,49;0;170216,49;0;0;0;0;0;0;230842,79;2312013,22;1130000;1130000;0;0;1181447,88;473842,88;0;707605;0;0;0;0;0;565,34;0;0;199274,16;199274,16;0;0;0;0;0;2511287,38;2742130,17;;724;99
31/12/2017;M0189;0;0;24589,34;0;0;25,29;0;0;25,29;0;0;0;0;0;24564,05;13908,51;0;10655,54;0;48412,98;30626,44;12786,54;0;0;0;0;0;5000;0;0;0;0;0;0;0;176861,32;0;176861,32;0;0;0;0;0;0;249863,64;2258124,14;1130000;1130000;0;0;1182013,22;473984,22;0;708029;0;0;0;0;0;-53889,08;0;0;221948,06;221948,06;0;0;0;0;0;2480072,2;2729935,84;;724;99
31/12/2018;M0189;0;0;23764,85;0;0;0;0;0;0;0;0;0;0;0;23764,85;12915,91;0;10848,94;0;41992,11;29205,57;12786,54;0;0;0;0;0;0;0;0;0;0;0;0;0;164870,2;0;164870,2;0;0;0;0;0;0;230627,16;2248859,85;1130000;1130000;0;0;1128124,14;473984,22;0;654139,92;0;0;0;0;0;-9264,29;0;0;191453,37;191453,37;0;0;0;0;0;2440313,22;2670940,38;;724;99
31/12/2019;M0189;0;0;24383,27;0;0;0;0;0;0;99,24;0;0;0;0;24284,03;12751,41;0;11532,62;0;32383,04;28519,81;3863,23;0;0;0;0;0;0;0;0;0;0;0;0;0;142580,2;0;142580,2;2538;0;0;0;2538;0;201884,51;2282578,08;1130000;1130000;0;0;1118859,85;473984,22;0;644875,63;0;0;0;0;0;33718,23;0;0;261396,18;261396,18;0;0;0;0;0;2543974,26;2745858,77;;724;99
31/12/2020;M0189;0;0;19269,35;0;0;0;0;0;0;0;0;0;0;0;19269,35;13060,47;0;6208,88;0;27273,24;27273,24;0;0;0;0;0;0;0;0;0;0;0;0;0;0;220770,29;0;220770,29;2556;0;0;0;2556;0;269868,88;2286861,36;1130000;1130000;0;0;1152578,08;482413,78;0;670164,3;0;0;0;0;0;4283,28;0;0;-142495,56;-142495,56;0;0;0;0;0;2144365,8;2414234,68;;724;99
31/12/2021;M0189;0;0;20837,9;0;0;0;0;0;0;0;0;0;0;0;20837,9;12862,61;0;7975,29;0;25558,18;25558,18;0;0;0;0;0;0;0;0;0;0;0;0;0;0;183073,12;0;183073,12;0;0;0;0;0;0;229469,2;2282364,04;1130000;1130000;0;0;1146397,46;483484,6;0;662912,86;0;0;0;0;0;5966,58;0;0;-22784,4;-22784,4;0;0;0;0;0;2259579,64;2489048,84;;724;99
